Time,open,high,low,close,volume
2010-05-24 00:00,1.25679,1.25679,1.2151,1.22707,411794.799890399
2010-05-31 00:00,1.22756,1.23528,1.19541,1.19647,412352.199897408
2010-06-07 00:00,1.1961,1.21534,1.18758,1.21105,411672.999850988
2010-06-14 00:00,1.21165,1.2416,1.21146,1.23894,414474.49984777
2010-06-21 00:00,1.23964,1.24673,1.22084,1.23683,413294.79987514
2010-06-28 00:00,1.23726,1.26114,1.21494,1.25636,414025.899866581
2010-07-05 00:00,1.25559,1.2722,1.2479,1.26386,410851.499901533
2010-07-12 00:00,1.26364,1.30064,1.25224,1.29293,409475.599866748
2010-07-19 00:00,1.29239,1.30282,1.27299,1.29085,408151.999865413
2010-07-26 00:00,1.28985,1.3105,1.28746,1.30496,409468.199807286
2010-08-02 00:00,1.30545,1.33345,1.30506,1.32765,408856.59980166
2010-08-09 00:00,1.32863,1.33078,1.27468,1.27507,409467.199838638
2010-08-16 00:00,1.27562,1.2921,1.26611,1.27085,408248.799785137
2010-08-23 00:00,1.27034,1.27789,1.25843,1.27605,409499.699798703
2010-08-30 00:00,1.27583,1.28981,1.26224,1.28955,409818.599827886
2010-09-06 00:00,1.28911,1.29184,1.26435,1.26813,409332.699860215
2010-09-13 00:00,1.2676,1.31593,1.2676,1.30486,408526.799848318
2010-09-20 00:00,1.30562,1.34956,1.3032,1.34896,409720.49986577
2010-09-27 00:00,1.34854,1.37928,1.33786,1.37897,406159.899979949
2010-10-04 00:00,1.37931,1.40283,1.36358,1.39363,407245.000045657
2010-10-11 00:00,1.39482,1.41571,1.37736,1.39754,407219.199988008
2010-10-18 00:00,1.39814,1.405,1.36974,1.39534,420100.700020313
2010-10-25 00:00,1.39584,1.40806,1.37334,1.39463,422653.100078702
2010-11-01 00:00,1.39516,1.42825,1.3863,1.40308,423364.400068223
2010-11-08 00:00,1.40593,1.40837,1.3572,1.36907,423026.600076556
2010-11-15 00:00,1.37058,1.37508,1.34472,1.36758,416375.599991024
2010-11-22 00:00,1.37172,1.37866,1.32012,1.32429,394112.399972811
2010-11-29 00:00,1.32845,1.34385,1.29695,1.34163,964133.899422497
2010-12-06 00:00,1.33803,1.34232,1.3165,1.32259,859732.599376768
2010-12-13 00:00,1.31967,1.34988,1.31338,1.31895,894554.999344274
2010-12-20 00:00,1.31873,1.32023,1.30561,1.31242,740465.751115873
2010-12-27 00:00,1.31152,1.34254,1.30734,1.33864,619737.027675353
2011-01-03 00:00,1.33466,1.3431,1.29061,1.29079,1010624.00404299
2011-01-10 00:00,1.28795,1.34532,1.28747,1.33894,924888.944091178
2011-01-17 00:00,1.33838,1.36267,1.32451,1.36218,907128.853607506
2011-01-24 00:00,1.36435,1.37579,1.35413,1.36124,812668.293190695
2011-01-31 00:00,1.35874,1.38621,1.35442,1.35832,889321.102980316
2011-02-07 00:00,1.35636,1.37438,1.34981,1.35513,945724.652543917
